date,home_team,Home Team Goals,away_team,Away Team Goals,Home Team Initials,Away Team Initials
1994-03-23,Luxembourg,1,Morocco,2,LUX,MAR
1994-03-23,Northern Ireland,2,Romania,0,NIR,ROU
1994-03-23,Scotland,0,Netherlands,1,SCO,NED
1994-03-23,Spain,0,Croatia,2,ESP,CRO
1994-03-26,Nigeria,3,Gabon,0,NGA,GAB
1994-03-26,Saudi Arabia,0,Chile,2,KSA,CHI
1994-03-26,Tunisia,0,Mali,2,TUN,MLI
1994-03-27,Ghana,1,Guinea,0,GHA,GUI
1994-03-28,Egypt,4,Gabon,0,EGY,GAB
1994-03-29,Senegal,2,Guinea,1,SEN,GUI
1994-03-29,Zambia,0,Sierra Leone,0,ZAM,SLE
1994-03-30,Malta,1,Slovakia,2,MLT,SVK
1994-03-30,Nigeria,0,Egypt,0,NGA,EGY
1994-03-31,Ghana,1,Senegal,0,GHA,SEN
1994-04-02,Egypt,0,Mali,1,EGY,MLI
1994-04-03,Zambia,1,Senegal,0,ZAM,SEN
1994-04-06,Hungary,0,Slovenia,1,HUN,SVN
1994-04-06,Zambia,4,Mali,0,ZAM,MLI
1994-04-07,Cayman Islands,2,Haiti,3,CAY,HAI
1994-04-07,Colombia,0,Bolivia,1,COL,BOL
1994-04-09,Suriname,2,Cayman Islands,0,SUR,CAY
1994-04-10,Nigeria,2,Zambia,1,NGA,ZAM
1994-04-11,Suriname,1,Haiti,1,SUR,HAI
1994-04-13,Poland,1,Saudi Arabia,0,POL,KSA
1994-04-14,Trinidad and Tobago,3,Suriname,2,TRI,SUR
1994-04-15,Oman,1,Bulgaria,1,OMA,BUL
1994-04-17,Colombia,1,Nigeria,0,COL,NGA
1994-04-18,Tunisia,2,Saudi Arabia,0,TUN,KSA
1994-04-20,Argentina,3,Morocco,1,ARG,MAR
1994-04-20,Austria,1,Scotland,2,AUT,SCO
1994-04-20,Denmark,3,Hungary,1,DEN,HUN
1994-04-20,Iceland,0,Saudi Arabia,2,ISL,KSA
1994-04-20,Lithuania,1,Israel,1,LTU,ISR
1994-04-20,Netherlands,0,Republic of Ireland,1,NED,IRL
1994-04-20,Northern Ireland,4,Liechtenstein,1,NIR,LIE
1994-04-20,Norway,0,Portugal,0,NOR,POR
1994-04-20,Romania,3,Bolivia,0,ROU,BOL
1994-04-20,Slovakia,4,Croatia,1,SVK,CRO
1994-04-20,Switzerland,3,Czech Republic,0,SUI,CZE
1994-04-20,Turkey,0,Russia,1,TUR,RUS
1994-04-20,Wales,0,Sweden,2,WAL,SWE
1994-04-22,Eswatini,0,Mozambique,1,SWZ,MOZ
1994-04-24,South Africa,1,Zimbabwe,0,RSA,ZIM
1994-04-27,Greece,5,Saudi Arabia,1,GRE,KSA
1994-04-27,Slovenia,3,Cyprus,0,SVN,CYP
1994-04-27,United Arab Emirates,0,Germany,2,UAE,GER
1994-04-28,Kuwait,2,Bulgaria,2,KUW,BUL
1994-05-03,Colombia,1,Peru,0,COL,PER
1994-05-03,El Salvador,3,Honduras,1,SLV,HON
1994-05-04,Bolivia,1,Saudi Arabia,0,BOL,KSA
1994-05-04,Brazil,3,Iceland,0,BRA,ISL
1994-05-04,Poland,3,Hungary,2,POL,HUN
1994-05-05,Colombia,3,El Salvador,0,COL,SLV
1994-05-05,Honduras,2,Peru,1,HON,PER
1994-05-05,Sweden,3,Nigeria,1,SWE,NGA
1994-05-09,Greece,0,Cameroon,3,GRE,CMR
1994-05-11,Bolivia,1,Cameroon,1,BOL,CMR
1994-05-13,Greece,0,Bolivia,0,GRE,BOL
1994-05-14,Nigeria,2,Suriname,1,NGA,SUR
1994-05-17,England,5,Greece,0,ENG,GRE
1994-05-17,Poland,3,Austria,4,POL,AUT
1994-05-18,Chile,3,Argentina,3,CHI,ARG
1994-05-18,Hungary,2,Croatia,2,HUN,CRO
1994-05-19,Iceland,1,Bolivia,0,ISL,BOL
1994-05-22,England,0,Norway,0,ENG,NOR
1994-05-22,Japan,1,Australia,1,JPN,AUS
1994-05-23,Estonia,1,Wales,2,EST,WAL
1994-05-23,Fiji,2,Tahiti,2,FIJ,TAH
1994-05-24,Republic of Ireland,1,Bolivia,0,IRL,BOL
1994-05-25,Chile,2,Peru,1,CHI,PER
1994-05-25,Czech Republic,5,Lithuania,3,CZE,LTU
1994-05-25,Ecuador,1,Argentina,0,ECU,ARG
1994-05-25,Fiji,2,Tahiti,0,FIJ,TAH
1994-05-25,Ukraine,3,Belarus,1,UKR,BLR
1994-05-26,Australia,0,France,1,AUS,FRA
1994-05-26,Denmark,1,Sweden,0,DEN,SWE
1994-05-27,Italy,2,Finland,0,ITA,FIN
1994-05-27,Netherlands,3,Scotland,1,NED,SCO
1994-05-27,Switzerland,2,Liechtenstein,0,SUI,LIE
1994-05-29,Germany,0,Republic of Ireland,2,GER,IRL
1994-05-29,Japan,1,France,4,JPN,FRA
1994-05-29,Russia,2,Slovakia,1,RUS,SVK
1994-05-31,Israel,0,Argentina,3,ISR,ARG
1994-06-01,Canada,1,Morocco,1,CAN,MAR
1994-06-01,North Macedonia,2,Estonia,0,MKD,EST
1994-06-01,Netherlands,7,Hungary,1,NED,HUN
1994-06-01,Norway,2,Denmark,1,NOR,DEN
1994-06-01,Romania,0,Slovenia,0,ROU,SVN
